"Dia","Estació","Nivell absolut (msnm)","Percentatge volum embassat (%)","Volum embassat (hm3)"
"18/01/2026","Embassament de Siurana (Cornudella de Montsant)","468,13","26,1","3,13"
"18/01/2026","Embassament de la Baells (Cercs)","624,91","84,0","91,28"
"18/01/2026","Embassament de Susqueda (Osor)","346,67","89,5","200,11"
"18/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","527,27","84,8","20,71"
"17/01/2026","Embassament de Riudecanyes","212,58","54,8","2,92"
"17/01/2026","Embassament de Susqueda (Osor)","347,74","92,0","205,78"
"17/01/2026","Embassament de Siurana (Cornudella de Montsant)","465,28","19,3","2,31"
"17/01/2026","Embassament de Darnius Boadella (Darnius)","156,29","84,8","53,69"
"17/01/2026","Embassament de Foix (Castellet i la Gornal)","99,56","83,1","2,80"
"17/01/2026","Embassament de Sau (Vilanova de Sau)","420,91","86,0","142,66"
"17/01/2026","Embassament de la Baells (Cercs)","624,54","82,9","90,08"
"17/01/2026","Embassament de la Llosa del Cavall (Navès)","800,88","82,1","58,75"
"17/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","527,00","83,4","20,36"
"16/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,94","83,1","20,29"
"16/01/2026","Embassament de Foix (Castellet i la Gornal)","99,48","82,1","2,77"
"16/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,71","18,0","2,17"
"16/01/2026","Embassament de Riudecanyes","212,33","53,4","2,84"
"16/01/2026","Embassament de Susqueda (Osor)","348,52","93,9","209,94"
"16/01/2026","Embassament de la Llosa del Cavall (Navès)","800,81","81,9","58,59"
"16/01/2026","Embassament de la Baells (Cercs)","624,59","83,0","90,27"
"16/01/2026","Embassament de Sau (Vilanova de Sau)","420,82","85,7","142,16"
"16/01/2026","Embassament de Darnius Boadella (Darnius)","156,36","85,2","53,93"
"15/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,70","18,0","2,17"
"15/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,94","83,1","20,29"
"15/01/2026","Embassament de Foix (Castellet i la Gornal)","99,51","82,3","2,77"
"15/01/2026","Embassament de Riudecanyes","212,32","53,3","2,84"
"15/01/2026","Embassament de Susqueda (Osor)","348,74","94,4","211,14"
"15/01/2026","Embassament de la Baells (Cercs)","624,60","83,1","90,29"
"15/01/2026","Embassament de la Llosa del Cavall (Navès)","800,80","81,8","58,56"
"15/01/2026","Embassament de Darnius Boadella (Darnius)","156,36","85,2","53,92"
"15/01/2026","Embassament de Sau (Vilanova de Sau)","420,72","85,4","141,64"
"14/01/2026","Embassament de Susqueda (Osor)","348,82","94,6","211,57"
"14/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,70","18,0","2,16"
"14/01/2026","Embassament de Riudecanyes","212,30","53,2","2,83"
"14/01/2026","Embassament de la Llosa del Cavall (Navès)","800,79","81,8","58,53"
"14/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,94","83,1","20,29"
"14/01/2026","Embassament de Foix (Castellet i la Gornal)","99,52","82,5","2,78"
"14/01/2026","Embassament de Darnius Boadella (Darnius)","156,35","85,1","53,89"
